year,trades,pnl_points,worst_trade_points,win_rate,scenario,allocation,pnl_share_of_positive_total
2017,1,-0.5749999999999997,-0.5749999999999997,0.0,base,def_full_resg0_ovg0,-0.00042559648272263306
2019,9,319.6225,-1.252499999999999,0.7777777777777778,base,def_full_resg0_ovg0,0.23657428138959105
2020,14,327.3675,2.4475000000000007,1.0,base,def_full_resg0_ovg0,0.2423068809699159
2021,12,373.27750000000003,2.4400000000000004,1.0,base,def_full_resg0_ovg0,0.27628798448608305
2022,12,282.6525,6.397500000000001,1.0,base,def_full_resg0_ovg0,0.20921027797001582
2024,3,48.7,8.2975,1.0,base,def_full_resg0_ovg0,0.03604617166711694
2017,1,-0.8624999999999996,-0.8624999999999996,0.0,base,def_full_resg0_ovg50,-0.00042559648272263306
2019,9,479.43375,-1.8787499999999984,0.7777777777777778,base,def_full_resg0_ovg50,0.23657428138959102
2020,14,491.05125000000004,3.671250000000001,1.0,base,def_full_resg0_ovg50,0.2423068809699159
2021,12,559.91625,3.6600000000000006,1.0,base,def_full_resg0_ovg50,0.276287984486083
2022,12,423.97875,9.59625,1.0,base,def_full_resg0_ovg50,0.20921027797001582
2024,3,73.05,12.44625,1.0,base,def_full_resg0_ovg50,0.03604617166711693
2016,4,27.9125,1.487499999999999,1.0,base,def_full_resg100_ovg50,0.00762610045688299
2017,10,34.195,-0.8624999999999996,0.8,base,def_full_resg100_ovg50,0.00934257071645728
2018,8,35.9525,-0.5750000000000011,0.875,base,def_full_resg100_ovg50,0.009822745245896488
2019,13,667.42625,-1.8787499999999984,0.8461538461538461,base,def_full_resg100_ovg50,0.18235054653150742
2020,30,886.65625,-1.7125000000000004,0.9666666666666667,base,def_full_resg100_ovg50,0.24224736706576475
2021,23,630.0737500000002,-69.20500000000014,0.9130434782608695,base,def_full_resg100_ovg50,0.17214530094921562
2022,33,1012.4337499999999,-68.50250000000001,0.9393939393939394,base,def_full_resg100_ovg50,0.2766116071093151
2023,7,42.8,-2.5125,0.42857142857142855,base,def_full_resg100_ovg50,0.011693581712658914
2024,13,322.6775,-2.0499999999999994,0.9230769230769231,base,def_full_resg100_ovg50,0.08816018021230133
2016,4,13.95625,0.7437499999999995,1.0,base,def_full_resg50_ovg50,0.0049083870332416275
2017,10,16.66625,-0.8624999999999996,0.8,base,def_full_resg50_ovg50,0.0058614889667900245
2018,8,17.97625,-0.2875000000000005,0.875,base,def_full_resg50_ovg50,0.006322213517693492
2019,13,573.43,-1.8787499999999984,0.8461538461538461,base,def_full_resg50_ovg50,0.20167425895005794
2020,30,688.85375,-0.8562500000000002,0.9666666666666667,base,def_full_resg50_ovg50,0.24226857603581692
2021,23,594.9950000000001,-34.60250000000007,0.9130434782608695,base,def_full_resg50_ovg50,0.2092586291334422
2022,33,718.20625,-34.251250000000006,0.9393939393939394,base,def_full_resg50_ovg50,0.2525917954101635
2023,7,21.4,-1.25625,0.42857142857142855,base,def_full_resg50_ovg50,0.007526339991858187
2024,13,197.86375,-1.0249999999999997,0.9230769230769231,base,def_full_resg50_ovg50,0.06958831096093601
2017,1,-9.55,-9.55,0.0,harsh_stress,def_full_resg0_ovg0,-0.0179430332180971
2019,9,134.99499999999995,-10.355,0.4444444444444444,harsh_stress,def_full_resg0_ovg0,0.25363557793476615
2020,14,110.285,-7.555000000000001,0.5,harsh_stress,def_full_resg0_ovg0,0.2072091537652187
2021,12,177.20499999999998,-7.7200000000000015,0.8333333333333334,harsh_stress,def_full_resg0_ovg0,0.33294190590710954
2022,12,109.00499999999998,-4.0550000000000015,0.75,harsh_stress,def_full_resg0_ovg0,0.20480422365849987
2024,3,10.299999999999994,-3.055,0.6666666666666666,harsh_stress,def_full_resg0_ovg0,0.019352171952502616
2017,1,-14.325,-14.325,0.0,harsh_stress,def_full_resg0_ovg50,-0.0179430332180971
2019,9,202.49249999999998,-15.5325,0.4444444444444444,harsh_stress,def_full_resg0_ovg50,0.25363557793476627
2020,14,165.42749999999998,-11.3325,0.5,harsh_stress,def_full_resg0_ovg50,0.2072091537652187
2021,12,265.8075,-11.580000000000002,0.8333333333333334,harsh_stress,def_full_resg0_ovg50,0.33294190590710965
2022,12,163.50749999999996,-6.082500000000002,0.75,harsh_stress,def_full_resg0_ovg50,0.2048042236584999
2024,3,15.449999999999989,-4.5825000000000005,0.6666666666666666,harsh_stress,def_full_resg0_ovg50,0.01935217195250262
2016,4,-15.225000000000001,-7.975,0.25,harsh_stress,def_full_resg100_ovg50,-0.013341570493440945
2017,10,-72.26,-14.325,0.0,harsh_stress,def_full_resg100_ovg50,-0.06332097759317193
2018,8,-51.24500000000001,-10.450000000000005,0.0,harsh_stress,def_full_resg100_ovg50,-0.04490566699089533
2019,13,315.12749999999994,-15.5325,0.46153846153846156,harsh_stress,def_full_resg100_ovg50,0.2761442204053734
2020,30,302.03749999999997,-11.3325,0.6,harsh_stress,def_full_resg100_ovg50,0.26467353680871386
2021,23,189.11250000000018,-79.92000000000014,0.6521739130434783,harsh_stress,def_full_resg100_ovg50,0.16571807881384912
2022,33,405.86749999999995,-86.605,0.6363636363636364,harsh_stress,def_full_resg100_ovg50,0.35565910425265296
2023,7,-33.6,-11.57,0.14285714285714285,harsh_stress,def_full_resg100_ovg50,-0.029443465916559327
