variant_id,fold_id,fold_trade_dates,rebalance_count,strategy_total_return,strategy_annualized_return,buyhold_annualized_return,excess_vs_buyhold_annualized,beats_buyhold
core_only_rebalanced_equal_weight,1,247,9,0.1866993490997635,0.18916913271255598,0.19707720068353063,-0.007908067970974653,False
core_only_rebalanced_equal_weight,2,246,9,0.15168604400355878,0.15433378469565584,0.15575551743230043,-0.0014217327366445875,False
core_only_rebalanced_equal_weight,3,246,9,0.1665340801473063,0.16945952179972967,0.15435704290603414,0.015102478893695537,True
core_only_rebalanced_equal_weight,4,246,9,-0.13207878698146414,-0.1340755889611166,-0.11435339804670264,-0.019722190914413962,False
core_only_rebalanced_equal_weight,5,246,9,0.6328866727482458,0.6459579819815553,0.643188664830973,0.0027693171505822622,True
core_only_rebalanced_equal_weight,6,246,9,0.06321948849584347,0.06427980565996294,0.052935275841824225,0.011344529818138716,True
core_only_rebalanced_equal_weight,7,246,9,0.17593846167396232,0.1790414142865855,0.17458360256614847,0.0044578117204370216,True
core_only_rebalanced_equal_weight,8,246,9,0.33381794312550417,0.3400797536469704,0.3495252380012348,-0.0094454843542644,False
core_only_rebalanced_equal_weight,9,246,9,0.10578129073199949,0.10759071538592457,0.09636944844352513,0.011221266942399444,True
core_only_rebalanced_equal_weight,10,246,9,0.003776390660594542,0.0038379130705317177,0.0023289156189656435,0.0015089974515660742,True
pure_e1006_top10_active_no_hedge,1,247,9,-0.014096982127775326,-0.014266973334789212,0.19707720068353063,-0.21134417401831984,False
pure_e1006_top10_active_no_hedge,2,246,9,0.03365641891142657,0.03421293528728442,0.15575551743230043,-0.12154258214501601,False
pure_e1006_top10_active_no_hedge,3,246,9,0.1953270176279427,0.1987998578356951,0.15435704290603414,0.044442814929660956,True
pure_e1006_top10_active_no_hedge,4,246,9,-0.02680512482312447,-0.027234991057193514,-0.11435339804670264,0.08711840698950912,True
pure_e1006_top10_active_no_hedge,5,246,9,0.773282197396026,0.7898763201478278,0.643188664830973,0.1466876553168548,True
pure_e1006_top10_active_no_hedge,6,246,9,0.11065564963596741,0.11255261547843931,0.052935275841824225,0.059617339636615085,True
pure_e1006_top10_active_no_hedge,7,246,9,0.12808699588222994,0.13029990723719842,0.17458360256614847,-0.044283695328950046,False
pure_e1006_top10_active_no_hedge,8,246,9,0.5855503644451097,0.5974784264162298,0.3495252380012348,0.24795318841499503,True
pure_e1006_top10_active_no_hedge,9,246,9,-0.023354027465528282,-0.0237292265003769,0.09636944844352513,-0.12009867494390203,False
pure_e1006_top10_active_no_hedge,10,246,9,0.07545091373560564,0.07672367163750637,0.0023289156189656435,0.07439475601854073,True
full_tb14_dynamic_hedge,1,247,9,0.2098877039509479,0.21269074683148914,0.19707720068353063,0.015613546147958512,True
full_tb14_dynamic_hedge,2,246,9,0.15740901806655194,0.160163421500491,0.15575551743230043,0.004407904068190582,True
full_tb14_dynamic_hedge,3,246,9,0.18452683590105412,0.1877929859114047,0.15435704290603414,0.03343594300537056,True
full_tb14_dynamic_hedge,4,246,9,-0.10531492315717095,-0.10693238095136393,-0.11435339804670264,0.007421017095338711,True
full_tb14_dynamic_hedge,5,246,9,0.6724815651803246,0.6865267393516061,0.643188664830973,0.043338074520633096,True
full_tb14_dynamic_hedge,6,246,9,0.06590666032881054,0.06701345087798982,0.052935275841824225,0.014078175036165597,True
full_tb14_dynamic_hedge,7,246,9,0.18696773016836032,0.19028045098728152,0.17458360256614847,0.01569684842113306,True
full_tb14_dynamic_hedge,8,246,9,0.35748460123323045,0.3642476145557232,0.3495252380012348,0.014722376554488381,True
full_tb14_dynamic_hedge,9,246,9,0.11002544839471096,0.1119110761563058,0.09636944844352513,0.01554162771278067,True
full_tb14_dynamic_hedge,10,246,9,0.008061543948604477,0.008193161503209812,0.0023289156189656435,0.005864245884244168,True
