strategy,trade_count,first_entry,last_expiry,total_pnl_points,mean_pnl_points,median_pnl_points,worst_trade_points,win_rate,max_drawdown_points,mean_return_on_margin,total_return_on_margin,annualized_return_on_margin,mean_days_to_expiry,mean_total_contracts
TB11_T08_dte10_ret5_0p01,141,2016-08-17,2024-06-27,2984.6050000000005,21.167411347517735,11.924999999999999,-69.20500000000014,0.8936170212765957,-69.20500000000015,0.03231990261036034,4.557106268060808,0.24382708585507884,6.184397163120567,281558.4539007092
TB11_T08_dte9_ret5_0p01,135,2016-08-17,2024-06-27,2946.82,21.828296296296298,12.0075,-69.20500000000014,0.8888888888888888,-69.20500000000015,0.03328294135692105,4.493197083184342,0.2419980532403312,6.014814814814815,286695.74074074073
TB11_T08_dte10_ret5_0p012,120,2016-09-21,2024-06-13,2684.6475000000005,22.372062500000006,11.96875,-69.20500000000014,0.9166666666666666,-69.20500000000015,0.03509420374849134,4.211304449818961,0.23820914591358333,6.241666666666666,242911.25
TB11_T08_dte9_ret5_0p012,114,2016-09-21,2024-06-13,2646.8625000000006,23.218092105263164,13.137500000000003,-69.20500000000014,0.9122807017543859,-69.20500000000015,0.036380660218793825,4.147395264942496,0.23623320475223752,6.043859649122807,246960.81578947368
TB11_T08_dte10_ret5_0p015,91,2017-04-24,2024-05-30,2027.0099999999998,22.274835164835164,12.975000000000001,-69.20500000000014,0.9230769230769231,-69.20500000000015,0.03630938957735094,3.3041544515389356,0.22825756320775814,5.956043956043956,269418.1868131868
TB11_T08_dte8_ret5_0p01,119,2016-08-17,2024-06-27,2562.627500000001,21.534684873949587,12.0075,-69.20500000000014,0.8907563025210085,-69.20500000000015,0.03346335110677761,3.9821387817065355,0.2266638761191262,5.61344537815126,308157.12605042016
TB11_T08_dte9_ret5_0p015,87,2017-04-24,2024-05-30,2002.7274999999993,23.01985632183907,13.4225,-69.20500000000014,0.9195402298850575,-69.20500000000015,0.03750758676469488,3.2631600485284546,0.22660294563435301,5.7701149425287355,273240.4827586207
TB11_T08_dte8_ret5_0p012,101,2016-09-21,2024-06-13,2318.755000000001,22.957970297029714,12.975000000000001,-69.20500000000014,0.9207920792079208,-69.20500000000015,0.0365318115834932,3.6897129699328133,0.2214230558603345,5.663366336633663,263487.3366336634
TB11_T08_dte8_ret5_0p015,78,2017-04-24,2024-05-23,1803.1899999999998,23.11782051282051,13.361250000000002,-69.20500000000014,0.9230769230769231,-69.20500000000015,0.03817338295313005,2.977523870344144,0.21531844756495366,5.397435897435898,291402.39743589744
TB11_T08_dte10_ret5_0p02,61,2017-04-24,2024-05-23,1528.995,25.065491803278686,14.455000000000002,-68.50250000000001,0.9344262295081968,-68.50250000000005,0.039530873061003155,2.4113832567211926,0.18924627060704124,5.786885245901639,245638.31147540984
