experiment_id,portfolio_style,rebalance_rule,top_k,rebalance_count,portfolio_mean_return,portfolio_median_return,portfolio_std_return,portfolio_mean_turnover,portfolio_mean_long_contribution,portfolio_mean_short_contribution,positive_windows,zero_windows,negative_windows,portfolio_win_rate,top_contributor_share,benchmark_policy,benchmark_return,excess_vs_benchmark,beats_flat,beats_benchmark,promotion_verdict,sweep_top_k,sweep_rebalance_every_sessions,approx_periods_per_year,approx_annualized_return
E1006,long_only,every_5_session_open,3,145,0.004107090773369104,0.006245607317723553,0.02140815335294275,1.7402298850574711,0.004107090773369104,0.0,85,0,60,0.5862068965517241,0.22051688970096453,SIGNAL_E211_BANDED_68,0.0001012555869542,0.004005835186414904,True,True,baseline_promoted,3,5,50.0,0.22744403246187894
E1002,long_only,every_5_session_open,3,145,0.0009768215314981809,-2.081144609612784e-05,0.021085852071996387,1.795402298850575,0.0009768215314981809,0.0,72,0,73,0.496551724137931,0.13394414546589883,SIGNAL_E211_BANDED_68,0.0001012555869542,0.0008755659445439808,True,True,baseline_promoted,3,5,50.0,0.05002842747675418
E1003,long_only,every_5_session_open,3,145,0.0005407512690741218,-0.0004761900505911704,0.0215386653522809,1.749425287356322,0.0005407512690741218,0.0,70,0,75,0.4827586206896552,0.10484107187228044,SIGNAL_E211_BANDED_68,0.0001012555869542,0.00043949568211992183,True,True,baseline_promoted,3,5,50.0,0.02739888705783744
E1006,long_only,every_7_session_open,3,104,0.004153700401491125,0.005422480521480982,0.025483780665904298,1.8044871794871797,0.004153700401491125,0.0,57,0,47,0.5480769230769231,0.209864619419158,SIGNAL_E211_BANDED_68,0.0001012555869542,0.0040524448145369246,True,True,baseline_promoted,3,7,35.714285714285715,0.15955835024436849
E1002,long_only,every_7_session_open,3,104,0.003612577310616168,0.005050344068378518,0.025266852798552026,1.8044871794871793,0.003612577310616168,0.0,59,0,45,0.5673076923076923,0.13236927176848562,SIGNAL_E211_BANDED_68,0.0001012555869542,0.003511321723661968,True,True,baseline_promoted,3,7,35.714285714285715,0.13744910673634436
E1003,long_only,every_7_session_open,3,104,0.0033195351835506805,0.0024386985515888722,0.022003665701521236,1.753205128205128,0.0033195351835506805,0.0,58,0,46,0.5576923076923077,0.11052959088611426,SIGNAL_E211_BANDED_68,0.0001012555869542,0.0032182795965964807,True,True,baseline_promoted,3,7,35.714285714285715,0.12564757121099768
E1006,long_only,every_10_session_open,3,73,0.009674197200547017,0.005334512440689309,0.03802966805460706,1.6484018264840181,0.009674197200547017,0.0,42,0,31,0.5753424657534246,0.1961390716844538,SIGNAL_E211_BANDED_68,0.0001012555869542,0.009572941613592817,True,True,baseline_promoted,3,10,25.0,0.2721298520099906
E1002,long_only,every_10_session_open,3,73,0.0037873708486060973,0.0053345124406893075,0.03203933184638882,1.7031963470319633,0.0037873708486060973,0.0,43,0,30,0.589041095890411,0.11874892955832783,SIGNAL_E211_BANDED_68,0.0001012555869542,0.0036861152616518974,True,True,baseline_promoted,3,10,25.0,0.0991151207949903
E1003,long_only,every_10_session_open,3,73,0.0036017477700609063,-0.0006415951177987395,0.02980349619999086,1.776255707762557,0.0036017477700609063,0.0,35,0,38,0.4794520547945205,0.14102910151258932,SIGNAL_E211_BANDED_68,0.0001012555869542,0.0035004921831067065,True,True,baseline_promoted,3,10,25.0,0.09404509695729835
E1002,long_only,every_15_session_open,3,49,0.010459222073351008,0.008506162876574661,0.049777530240706545,1.7619047619047619,0.010459222073351008,0.0,27,0,22,0.5510204081632653,0.1827289593540507,SIGNAL_E211_BANDED_68,0.0001012555869542,0.010357966486396808,True,True,baseline_promoted,3,15,16.666666666666668,0.18935964320072984
E1006,long_only,every_15_session_open,3,49,0.0073020565661096205,0.005516328091120076,0.04135707659966621,1.7619047619047619,0.0073020565661096205,0.0,28,0,21,0.5714285714285714,0.20963410327786303,SIGNAL_E211_BANDED_68,0.0001012555869542,0.00720080097915542,True,True,baseline_promoted,3,15,16.666666666666668,0.12891699363401155
E1003,long_only,every_15_session_open,3,49,0.005525793459391116,-0.0013656132770912058,0.04073335748163161,1.6802721088435375,0.005525793459391116,0.0,23,0,26,0.46938775510204084,0.1594219497662164,SIGNAL_E211_BANDED_68,0.0001012555869542,0.005424537872436915,True,True,baseline_promoted,3,15,16.666666666666668,0.09619274784083354
E1003,long_only,every_21_session_open,3,35,0.013336190886913906,0.010174262660479454,0.04485930317941869,1.838095238095238,0.013336190886913906,0.0,25,0,10,0.7142857142857143,0.09728036721760219,SIGNAL_E211_BANDED_68,0.0001012555869542,0.013234935299959706,True,True,baseline_promoted,3,21,11.904761904761905,0.17083227452314276
E1006,long_only,every_21_session_open,3,35,0.007673941770736278,0.008755328965843814,0.04021102162611718,1.8,0.007673941770736278,0.0,21,0,14,0.6,0.0858227981175044,SIGNAL_E211_BANDED_68,0.0001012555869542,0.007572686183782078,True,True,baseline_promoted,3,21,11.904761904761905,0.09527743958961543
E1002,long_only,every_21_session_open,3,35,0.007438722781555099,0.0073738944473155325,0.040030263120099566,1.7619047619047619,0.007438722781555099,0.0,20,0,15,0.5714285714285714,0.10826275225354146,SIGNAL_E211_BANDED_68,0.0001012555869542,0.007337467194600899,True,True,baseline_promoted,3,21,11.904761904761905,0.09223764288891312
