candidate_id,experiment_id,fold_id,top_k,rebalance_rule,core_weight,active_weight,active_gate,fold_trade_dates,rebalance_count,active_gate_pass_count,strategy_total_return,strategy_annualized_return,buyhold_total_return,buyhold_annualized_return,excess_vs_buyhold_annualized,beats_buyhold
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,1,10,every_30_session_open,0.5,0.5,breadth_adv_50,247,9,3,0.15990111134445173,0.1619927153117353,0.19449598268530474,0.19707720068353063,-0.035084485371795315,False
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,2,10,every_30_session_open,0.5,0.5,breadth_adv_50,246,9,8,0.12110489460370588,0.12319071519352587,0.1530818063625,0.15575551743230043,-0.03256480223877456,False
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,3,10,every_30_session_open,0.5,0.5,breadth_adv_50,246,9,6,0.21613993913741592,0.22001563872087004,0.1517088775841932,0.15435704290603414,0.06565859581483591,True
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,4,10,every_30_session_open,0.5,0.5,breadth_adv_50,246,9,6,-0.07374647498900633,-0.07489954170084367,-0.11263091701269487,-0.11435339804670264,0.03945385634585896,True
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,5,10,every_30_session_open,0.5,0.5,breadth_adv_50,246,9,6,0.7458785280134677,0.7617700029931629,0.6301832688063241,0.643188664830973,0.11858133816218985,True
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,6,10,every_30_session_open,0.5,0.5,breadth_adv_50,246,9,5,0.11420158938024372,0.11616246121212548,0.05206663818163486,0.052935275841824225,0.06322718537030125,True
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,7,10,every_30_session_open,0.5,0.5,breadth_adv_50,246,9,5,0.17208619842009432,0.17511628699679926,0.17156338661733686,0.17458360256614847,0.0005326844306507983,True
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,8,10,every_30_session_open,0.5,0.5,breadth_adv_50,246,9,8,0.4219461341675539,0.43010870326762407,0.34306834945554576,0.3495252380012348,0.08058346526638926,True
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,9,10,every_30_session_open,0.5,0.5,breadth_adv_50,246,9,3,0.0683946217993201,0.06954454039649893,0.09475670591763041,0.09636944844352513,-0.026824908047026197,False
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,E1006,10,10,every_30_session_open,0.5,0.5,breadth_adv_50,246,9,3,0.03233917529968511,0.032873566232598295,0.0022916103061673544,0.0023289156189656435,0.03054465061363265,True
