scenario,allocation,entry_date,expiry_date,weighted_pnl_points,weighted_return_on_margin,active_legs,has_defensive,has_growth
base,def_full_resg100_ovg50,2023-11-06,2023-11-09,-2.5125,-0.0025162429113306,1,False,True
base,def_full_resg100_ovg50,2023-11-09,2023-11-16,-2.385,-0.0023888580056791,1,False,True
base,def_full_resg100_ovg50,2024-04-29,2024-05-02,-2.0499999999999994,-0.0017856365140891,1,False,True
base,def_full_resg100_ovg50,2019-02-25,2019-02-28,-1.8787499999999984,-0.0031456544761218,2,True,True
base,def_full_resg100_ovg50,2020-02-10,2020-02-13,-1.7125000000000004,-0.0024544493613056,1,False,True
base,def_full_resg100_ovg50,2019-12-16,2019-12-19,-0.9937500000000008,-0.0009970777469804,2,True,True
base,def_full_resg100_ovg50,2023-02-13,2023-02-16,-0.91,-0.0010145945524077,1,False,True
base,def_full_resg50_ovg50,2021-08-26,2021-09-02,-34.60250000000007,-0.0411144050426858,1,False,True
base,def_full_resg50_ovg50,2022-07-19,2022-07-28,-34.251250000000006,-0.0424820388153835,1,False,True
base,def_full_resg50_ovg50,2019-02-25,2019-02-28,-1.8787499999999984,-0.0031456544761218,2,True,True
base,def_full_resg50_ovg50,2021-05-19,2021-05-27,-1.6987499999998192,-0.0023800433626735,1,False,True
base,def_full_resg50_ovg50,2023-11-06,2023-11-09,-1.25625,-0.0012581214556653,1,False,True
base,def_full_resg50_ovg50,2023-11-09,2023-11-16,-1.1925,-0.0011944290028395,1,False,True
base,def_full_resg50_ovg50,2024-04-29,2024-05-02,-1.0249999999999997,-0.0008928182570445,1,False,True
base,def_full_resg50_ovg50,2019-12-16,2019-12-19,-0.9937500000000008,-0.0009970777469804,2,True,True
base,def_full_resg50_ovg50,2017-04-24,2017-04-27,-0.8624999999999996,-0.0017368977495846,2,True,True
base,def_full_resg50_ovg50,2020-02-10,2020-02-13,-0.8562500000000002,-0.0012272246806528,1,False,True
harsh_stress,def_full_resg0_ovg0,2019-02-25,2019-02-28,-10.355,-0.0173057800135371,1,True,True
harsh_stress,def_full_resg0_ovg0,2019-12-16,2019-12-19,-9.675,-0.0096975467963014,1,True,True
harsh_stress,def_full_resg0_ovg0,2017-04-24,2017-04-27,-9.55,-0.0191940508491608,1,True,True
harsh_stress,def_full_resg0_ovg0,2021-05-31,2021-06-03,-7.7200000000000015,-0.0097019051927813,1,True,True
harsh_stress,def_full_resg0_ovg0,2020-12-07,2020-12-10,-7.555000000000001,-0.0108618297618448,1,True,True
harsh_stress,def_full_resg0_ovg0,2020-08-10,2020-08-13,-6.740000000000001,-0.0113326831892928,1,True,True
harsh_stress,def_full_resg0_ovg0,2020-12-28,2020-12-31,-6.300000000000002,-0.0090738873685726,1,True,True
harsh_stress,def_full_resg0_ovg0,2019-10-17,2019-10-24,-4.669999999999999,-0.0058914806918389,1,True,True
harsh_stress,def_full_resg0_ovg0,2020-11-13,2020-11-19,-4.285000000000001,-0.0066714931844897,1,True,True
harsh_stress,def_full_resg0_ovg0,2022-10-31,2022-11-03,-4.0550000000000015,-0.0043044195933358,1,True,True
harsh_stress,def_full_resg0_ovg50,2019-02-25,2019-02-28,-15.5325,-0.0259586700203056,2,True,True
harsh_stress,def_full_resg0_ovg50,2019-12-16,2019-12-19,-14.5125,-0.014546320194452,2,True,True
harsh_stress,def_full_resg0_ovg50,2017-04-24,2017-04-27,-14.325,-0.0287910762737412,2,True,True
harsh_stress,def_full_resg0_ovg50,2021-05-31,2021-06-03,-11.580000000000002,-0.0145528577891719,2,True,True
harsh_stress,def_full_resg0_ovg50,2020-12-07,2020-12-10,-11.3325,-0.0162927446427672,2,True,True
harsh_stress,def_full_resg0_ovg50,2020-08-10,2020-08-13,-10.11,-0.0169990247839392,2,True,True
harsh_stress,def_full_resg0_ovg50,2020-12-28,2020-12-31,-9.450000000000005,-0.0136108310528589,2,True,True
harsh_stress,def_full_resg0_ovg50,2019-10-17,2019-10-24,-7.004999999999999,-0.0088372210377583,2,True,True
harsh_stress,def_full_resg0_ovg50,2020-11-13,2020-11-19,-6.427500000000002,-0.0100072397767345,2,True,True
harsh_stress,def_full_resg0_ovg50,2022-10-31,2022-11-03,-6.082500000000002,-0.0064566293900037,2,True,True
harsh_stress,def_full_resg100_ovg50,2022-07-19,2022-07-28,-86.605,-0.1060874252010461,1,False,True
harsh_stress,def_full_resg100_ovg50,2021-08-26,2021-09-02,-79.92000000000014,-0.0946549334975662,1,False,True
harsh_stress,def_full_resg100_ovg50,2021-05-19,2021-05-27,-20.794999999999643,-0.0287563351748261,1,False,True
harsh_stress,def_full_resg100_ovg50,2019-02-25,2019-02-28,-15.5325,-0.0259586700203056,2,True,True
