scenario,allocation,lot_size,entry_date,expiry_date,weighted_pnl_before_lumped_cost_points,weighted_pnl_after_lumped_cost_points,weighted_pnl_after_itemized_cost_points,weighted_return_after_itemized_cost,weighted_model_lumped_cost_points,weighted_itemized_entry_cost_points,weighted_itemized_expiry_cost_points,weighted_itemized_total_cost_points,weighted_itemized_minus_lumped_cost_points,defensive_itm_expiry_legs,growth_itm_expiry_legs,defensive_expiry_intrinsic_points,growth_expiry_intrinsic_points
base,def_full_resg0_ovg50,50,2019-02-25,2019-02-28,4.121250000000002,-1.8787499999999986,1.2803359651500013,0.002143709679155803,6.0,2.84091403485,0.0,2.84091403485,-3.1590859651499996,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2019-05-20,2019-05-23,143.11874999999998,137.11874999999998,140.04745189724997,0.2775483972497337,6.0,3.0712981027499997,0.0,3.0712981027499997,-2.9287018972500003,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2019-05-22,2019-05-30,228.25500000000002,222.25500000000002,224.98213656180002,0.45192563035935973,6.0,3.2728634382000004,0.0,3.2728634382000004,-2.7271365617999996,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2019-05-23,2019-05-30,69.5325,63.5325,66.59086731869999,0.11031461756280594,6.0,2.9416326812999998,0.0,2.9416326812999998,-3.0583673187000002,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2019-09-23,2019-09-26,23.9775,17.9775,21.1030023009,0.03328470509514759,6.0,2.874497699099999,0.0,2.874497699099999,-3.125502300900001,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2019-09-26,2019-10-03,28.2675,22.267500000000002,25.394588613299998,0.043696756654076796,6.0,2.8729113867,0.0,2.8729113867,-3.1270886132999998,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2019-10-14,2019-10-17,15.682500000000001,9.682500000000001,12.8291938887,0.02176117834719996,6.0,2.8533061112999993,0.0,2.8533061112999993,-3.146693888700001,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2019-10-17,2019-10-24,15.472500000000002,9.472500000000002,12.615351545100001,0.015975169270152023,6.0,2.8571484549,0.0,2.8571484549,-3.1428515451,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2019-12-16,2019-12-19,5.00625,-0.9937500000000008,2.165776605749999,0.0021730290903390053,6.0,2.84047339425,0.0,2.84047339425,-3.1595266057499996,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-06-01,2020-06-04,65.83875,59.83875,62.90798484045,0.13792359222431114,6.0,2.93076515955,0.0,2.93076515955,-3.06923484045,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-06-04,2020-06-11,107.0325,101.0325,104.0517860907,0.21738822319401646,6.0,2.9807139093,0.0,2.9807139093,-3.0192860907,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-06-18,2020-06-25,104.48625000000001,98.48625000000001,101.46327177855002,0.21123109401843482,6.0,3.02297822145,0.0,3.02297822145,-2.97702177855,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-06-22,2020-06-25,60.881249999999994,54.881249999999994,57.95089313475,0.11376024957131989,6.0,2.93035686525,0.0,2.93035686525,-3.06964313475,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-07-06,2020-07-09,23.887500000000003,17.887500000000003,21.021239248500002,0.039360088467911815,6.0,2.8662607515,0.0,2.8662607515,-3.1337392485,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-07-20,2020-07-23,39.165,33.165,36.2777445174,0.06321375963581871,6.0,2.8872554825999996,0.0,2.8872554825999996,-3.1127445174,0,0,0.0,0.0
