scenario,allocation,lot_size,entry_date,expiry_date,weighted_pnl_before_lumped_cost_points,weighted_pnl_after_lumped_cost_points,weighted_pnl_after_itemized_cost_points,weighted_return_after_itemized_cost,weighted_model_lumped_cost_points,weighted_itemized_entry_cost_points,weighted_itemized_expiry_cost_points,weighted_itemized_total_cost_points,weighted_itemized_minus_lumped_cost_points,defensive_itm_expiry_legs,growth_itm_expiry_legs,defensive_expiry_intrinsic_points,growth_expiry_intrinsic_points
base,def_full_resg0_ovg50,50,2020-08-10,2020-08-13,10.995000000000001,4.995,8.145498016200001,0.013743732627263066,6.0,2.8495019837999993,0.0,2.8495019837999993,-3.150498016200001,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-08-27,2020-09-03,26.13375,20.13375,23.255772760649997,0.0399187623288747,6.0,2.87797723935,0.0,2.87797723935,-3.1220227606500006,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-10-05,2020-10-08,27.682500000000005,21.682500000000005,24.813401576700002,0.03928999766714962,6.0,2.8690984233,0.0,2.8690984233,-3.1309015766999995,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-10-08,2020-10-15,47.35125000000001,41.35125000000001,44.45347659195001,0.0782036153667322,6.0,2.8977734080500004,0.0,2.8977734080500004,-3.10222659195,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-10-12,2020-10-15,22.4775,16.4775,19.6141650609,0.03352762760083075,6.0,2.8633349390999996,0.0,2.8633349390999996,-3.1366650609000004,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-11-13,2020-11-19,16.17375,10.173749999999998,13.315842187049999,0.020831473148106863,6.0,2.8579078129499997,0.0,2.8579078129499997,-3.1420921870500003,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-12-07,2020-12-10,9.67125,3.671250000000001,6.822545559150001,0.009837100376900092,6.0,2.84870444085,0.0,2.84870444085,-3.1512955591500003,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2020-12-28,2020-12-31,13.275000000000002,7.275000000000002,10.417178829000003,0.015072240221370183,6.0,2.8578211710000003,0.0,2.8578211710000003,-3.1421788289999997,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-01-07,2021-01-14,51.91125,45.91125,49.005486425550004,0.06850153786285151,6.0,2.9057635744499994,0.0,2.9057635744499994,-3.0942364255500006,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-01-11,2021-01-14,22.9725,16.9725,20.1027787851,0.027362446198166558,6.0,2.8697212148999998,0.0,2.8697212148999998,-3.1302787851000002,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-02-01,2021-02-04,102.13499999999999,96.13499999999999,99.16722018659999,0.14542567228314585,6.0,2.9677798134000004,0.0,2.9677798134000004,-3.0322201866,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-02-04,2021-02-11,56.55375,50.55375,53.63532845985,0.07529905476272203,6.0,2.91842154015,0.0,2.91842154015,-3.0815784598499993,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-02-08,2021-02-11,25.462500000000002,19.4625,22.590463993500002,0.028850246152421703,6.0,2.8720360064999997,0.0,2.8720360064999997,-3.1279639935000003,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-04-26,2021-04-29,58.40625,52.40625,55.49917630575,0.0780510522011075,6.0,2.90707369425,0.0,2.90707369425,-3.09292630575,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-04-29,2021-05-06,132.37875,126.37875,129.38089110285,0.1955139854745957,6.0,2.9978588971500004,0.0,2.9978588971500004,-3.00214110285,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-05-20,2021-05-27,76.59,70.59,73.6582757844,0.09835003576307846,6.0,2.9317242156,0.0,2.9317242156,-3.0682757844,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-05-31,2021-06-03,9.66,3.6600000000000006,6.8101631256,0.008581787294722516,6.0,2.8498368744,0.0,2.8498368744,-3.1501631255999993,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-08-04,2021-08-12,25.950000000000006,19.950000000000006,23.075146866000004,0.02771123677915216,6.0,2.874853134,0.0,2.874853134,-3.1251468659999997,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-12-27,2021-12-30,26.31,20.31,23.441116011600002,0.026563375123631664,6.0,2.8688839884,0.0,2.8688839884,-3.1311160116,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2021-12-30,2022-01-06,43.58625000000001,37.58625000000001,40.69649613855001,0.0467269608941463,6.0,2.8897538614499996,0.0,2.8897538614499996,-3.1102461385500004,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-01-03,2022-01-06,16.683749999999996,10.683749999999998,13.827451978649997,0.015556082788291972,6.0,2.85629802135,0.0,2.85629802135,-3.1437019786499993,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-01-05,2022-01-13,56.04749999999999,50.04749999999999,53.1386564061,0.06160039461197378,6.0,2.9088435939,0.0,2.9088435939,-3.0911564061,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-03-21,2022-03-24,88.79249999999999,82.79249999999999,85.85455701629999,0.10210995060245834,6.0,2.9379429837,0.0,2.9379429837,-3.0620570163,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-05-30,2022-06-02,23.928749999999994,17.928749999999994,21.064479452849994,0.025255731181797192,6.0,2.86427054715,0.0,2.86427054715,-3.1357294528500006,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-07-06,2022-07-14,84.18749999999999,78.18749999999999,81.24436924049999,0.10233899447709022,6.0,2.9431307595,0.0,2.9431307595,-3.0568692405000006,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-07-07,2022-07-14,45.45,39.45,42.559754106,0.051921134690740514,6.0,2.890245894,0.0,2.890245894,-3.1097541059999996,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-07-20,2022-07-28,28.81875,22.81875,25.19942849025,0.03063620624014103,6.0,2.89275900975,0.7265625,3.61932150975,-2.38067849025,1,1,8.25,8.25
base,def_full_resg0_ovg50,50,2022-07-21,2022-07-28,37.972500000000004,31.972500000000004,35.09060557710001,0.04255031384965169,6.0,2.8818944229,0.0,2.8818944229,-3.1181055771,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-10-17,2022-10-20,33.705,27.705,30.830270287799998,0.03513301002564015,6.0,2.8747297121999997,0.0,2.8747297121999997,-3.1252702878,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-10-19,2022-10-27,44.27250000000001,38.27250000000001,41.37831481710001,0.04753478212387349,6.0,2.8941851829,0.0,2.8941851829,-3.1058148171000006,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-10-20,2022-10-27,20.52375,14.52375,17.658333781049997,0.019923259758551533,6.0,2.8654162189500005,0.0,2.8654162189500005,-3.1345837810499995,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2022-10-31,2022-11-03,15.596250000000001,9.596250000000001,12.742910106150001,0.0135620223511006,6.0,2.8533398938499994,0.0,2.8533398938499994,-3.1466601061500006,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2024-02-01,2024-02-08,36.87375,30.87375,33.99368127105,0.03160975274351589,6.0,2.88006872895,0.0,2.88006872895,-3.1199312710499996,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2024-03-27,2024-04-04,18.44625,12.44625,15.585754200149998,0.013699323153592433,6.0,2.8604957998500002,0.0,2.8604957998500002,-3.1395042001499998,0,0,0.0,0.0
base,def_full_resg0_ovg50,50,2024-05-15,2024-05-23,35.730000000000004,29.73,32.849389282800004,0.029168862244756615,6.0,2.8806107172,0.0,2.8806107172,-3.1193892827999994,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2019-02-25,2019-02-28,3.0187500000000003,-8.98125,0.17783596515000022,0.00029739077346934545,12.0,2.84091403485,0.0,2.84091403485,-9.15908596515,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2019-05-20,2019-05-23,114.58124999999998,102.58124999999998,111.50995189724998,0.21296273847024275,12.0,3.0712981027499997,0.0,3.0712981027499997,-8.92870189725,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2019-05-22,2019-05-30,174.52500000000003,162.52500000000003,171.25213656180006,0.32090721739304795,12.0,3.2728634382000004,0.0,3.2728634382000004,-8.7271365618,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2019-05-23,2019-05-30,56.58749999999999,44.58749999999999,53.645867318699985,0.08761727543783429,12.0,2.9416326812999998,0.0,2.9416326812999998,-9.0583673187,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2019-09-23,2019-09-26,18.862500000000004,6.862500000000004,15.988002300900003,0.025082170139075197,12.0,2.874497699099999,0.0,2.874497699099999,-9.1255023009,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2019-09-26,2019-10-03,23.512499999999996,11.512499999999996,20.639588613299996,0.035322104331151315,12.0,2.8729113867,0.0,2.8729113867,-9.1270886133,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2019-10-14,2019-10-17,13.2375,1.2375000000000016,10.384193888700002,0.017565346790205952,12.0,2.8533061112999993,0.0,2.8533061112999993,-9.146693888700002,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2019-10-17,2019-10-24,12.4875,0.4875000000000015,9.630351545100002,0.012164526535636468,12.0,2.8571484549,0.0,2.8571484549,-9.1428515451,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2019-12-16,2019-12-19,3.9937499999999995,-8.006250000000001,1.1532766057499995,0.0011563554020078454,12.0,2.84047339425,0.0,2.84047339425,-9.159526605749999,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-06-01,2020-06-04,54.28125,42.28125,51.350484840449994,0.11071388727222745,12.0,2.93076515955,0.0,2.93076515955,-9.069234840450001,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-06-04,2020-06-11,89.88750000000002,77.88750000000002,86.90678609070001,0.17733364503535176,12.0,2.9807139093,0.0,2.9807139093,-9.0192860907,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-06-18,2020-06-25,81.39375000000001,69.39375000000001,78.37077177855,0.15808925445129732,12.0,3.02297822145,0.0,3.02297822145,-8.97702177855,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-06-22,2020-06-25,49.21875,37.21875,46.288393134749995,0.08950021633305136,12.0,2.93035686525,0.0,2.93035686525,-9.06964313475,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-07-06,2020-07-09,19.912499999999998,7.912499999999998,17.0462392485,0.031759726579719594,12.0,2.8662607515,0.0,2.8662607515,-9.1337392485,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-07-20,2020-07-23,32.775,20.775,29.887744517399998,0.05169548476589121,12.0,2.8872554825999996,0.0,2.8872554825999996,-9.1127445174,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-08-10,2020-08-13,8.924999999999999,-3.075000000000001,6.0754980162,0.01022725025873243,12.0,2.8495019837999993,0.0,2.8495019837999993,-9.1504980162,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-08-27,2020-09-03,20.606249999999996,8.606249999999996,17.728272760649993,0.030239479346964873,12.0,2.87797723935,0.0,2.87797723935,-9.122022760650001,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-10-05,2020-10-08,23.4375,11.4375,20.568401576699998,0.032423096081497536,12.0,2.8690984233,0.0,2.8690984233,-9.1309015767,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-10-08,2020-10-15,39.768750000000004,27.768750000000004,36.870976591950004,0.06429255492395214,12.0,2.8977734080500004,0.0,2.8977734080500004,-9.10222659195,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-10-12,2020-10-15,18.862500000000004,6.862500000000004,15.999165060900005,0.02723609832897818,12.0,2.8633349390999996,0.0,2.8633349390999996,-9.1366650609,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-11-13,2020-11-19,13.10625,1.1062499999999984,10.248342187049998,0.01598150864435391,12.0,2.8579078129499997,0.0,2.8579078129499997,-9.14209218705,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-12-07,2020-12-10,7.668750000000001,-4.33125,4.820045559150001,0.006936440156356246,12.0,2.84870444085,0.0,2.84870444085,-9.15129555915,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2020-12-28,2020-12-31,10.125,-1.875,7.267178829000001,0.010482767874504147,12.0,2.8578211710000003,0.0,2.8578211710000003,-9.142178829,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-01-07,2021-01-14,43.368750000000006,31.368750000000002,40.46298642555,0.05611383698309845,12.0,2.9057635744499994,0.0,2.9057635744499994,-9.094236425550001,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-01-11,2021-01-14,18.487499999999997,6.487499999999999,15.6177787851,0.02117162542461111,12.0,2.8697212148999998,0.0,2.8697212148999998,-9.1302787851,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-02-01,2021-02-04,86.625,74.625,83.6572201866,0.12084827762600217,12.0,2.9677798134000004,0.0,2.9677798134000004,-9.0322201866,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-02-04,2021-02-11,46.40625,34.40625,43.48782845985,0.060478509809439376,12.0,2.91842154015,0.0,2.91842154015,-9.08157845985,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-02-08,2021-02-11,20.737500000000004,8.737500000000004,17.865463993500008,0.022724538421471055,12.0,2.8720360064999997,0.0,2.8720360064999997,-9.1279639935,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-04-26,2021-04-29,49.893750000000004,37.893750000000004,46.98667630575,0.0655563247433684,12.0,2.90707369425,0.0,2.90707369425,-9.092926305750002,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-04-29,2021-05-06,113.68124999999999,101.68124999999999,110.68339110285,0.164166922302464,12.0,2.9978588971500004,0.0,2.9978588971500004,-9.00214110285,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-05-20,2021-05-27,65.25,53.25,62.3182757844,0.08237709951672174,12.0,2.9317242156,0.0,2.9317242156,-9.0682757844,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-05-31,2021-06-03,7.5,-4.5,4.650163125599999,0.005849261793207546,12.0,2.8498368744,0.0,2.8498368744,-9.150163125599999,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-08-04,2021-08-12,20.85,8.850000000000003,17.975146866000003,0.02149880022246143,12.0,2.874853134,0.0,2.874853134,-9.125146866,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-12-27,2021-12-30,22.049999999999997,10.049999999999999,19.1811160116,0.021666232928498813,12.0,2.8688839884,0.0,2.8688839884,-9.1311160116,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2021-12-30,2022-01-06,36.993750000000006,24.993750000000002,34.10399613855,0.03896096778505434,12.0,2.8897538614499996,0.0,2.8897538614499996,-9.11024613855,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-01-03,2022-01-06,13.85625,1.8562499999999984,10.999951978649998,0.012348916774841776,12.0,2.85629802135,0.0,2.85629802135,-9.14370197865,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-01-05,2022-01-13,47.21249999999999,35.21249999999999,44.30365640609999,0.051010225849687674,12.0,2.9088435939,0.0,2.9088435939,-9.0911564061,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-03-21,2022-03-24,76.98750000000001,64.98750000000001,74.04955701630001,0.08725313814628687,12.0,2.9379429837,0.0,2.9379429837,-9.062057016299999,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-05-30,2022-06-02,20.231249999999996,8.231249999999996,17.366979452849996,0.02076117147424575,12.0,2.86427054715,0.0,2.86427054715,-9.13572945285,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-07-06,2022-07-14,71.51249999999999,59.512499999999996,68.5693692405,0.08546333373695197,12.0,2.9431307595,0.0,2.9431307595,-9.056869240500001,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-07-07,2022-07-14,38.85,26.85,35.959754106000005,0.0436351827520932,12.0,2.890245894,0.0,2.890245894,-9.109754106,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-07-20,2022-07-28,21.731249999999996,9.731249999999996,18.111928490249994,0.021893810598510137,12.0,2.89275900975,0.7265625,3.61932150975,-8.38067849025,1,1,8.25,8.25
moderate_stress,def_full_resg0_ovg50,50,2022-07-21,2022-07-28,32.2875,20.2875,29.405605577100005,0.03549365469941761,12.0,2.8818944229,0.0,2.8818944229,-9.1181055771,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-10-17,2022-10-20,28.875,16.875,26.0002702878,0.029520602086630713,12.0,2.8747297121999997,0.0,2.8747297121999997,-9.1252702878,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-10-19,2022-10-27,37.087500000000006,25.087500000000002,34.1933148171,0.03906579625500557,12.0,2.8941851829,0.0,2.8941851829,-9.1058148171,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-10-20,2022-10-27,16.556250000000002,4.556250000000002,13.690833781050003,0.015400912615605274,12.0,2.8654162189500005,0.0,2.8654162189500005,-9.134583781049999,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2022-10-31,2022-11-03,13.143749999999999,1.143749999999999,10.290410106149999,0.010932851810674776,12.0,2.8533398938499994,0.0,2.8533398938499994,-9.14666010615,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2024-02-01,2024-02-08,31.40625,19.40625,28.52618127105,0.02643607879158992,12.0,2.88006872895,0.0,2.88006872895,-9.11993127105,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2024-03-27,2024-04-04,15.09375,3.09375,12.233254200149998,0.0107315130874719,12.0,2.8604957998500002,0.0,2.8604957998500002,-9.13950420015,0,0,0.0,0.0
moderate_stress,def_full_resg0_ovg50,50,2024-05-15,2024-05-23,30.15,18.15,27.2693892828,0.024134338687317458,12.0,2.8806107172,0.0,2.8806107172,-9.1193892828,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2019-02-25,2019-02-28,2.4674999999999994,-15.5325,-0.3734140348500007,-0.0006240677103893185,18.0,2.84091403485,0.0,2.84091403485,-15.159085965150002,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2019-05-20,2019-05-23,100.31249999999996,82.31249999999996,97.24120189724995,0.18239850297256732,18.0,3.0712981027499997,0.0,3.0712981027499997,-14.928701897249999,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2019-05-22,2019-05-30,147.66,129.66,144.3871365618,0.26177956443868305,18.0,3.2728634382000004,0.0,3.2728634382000004,-14.727136561799998,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2019-05-23,2019-05-30,50.114999999999995,32.115,47.173367318699995,0.07650686407288472,18.0,2.9416326812999998,0.0,2.9416326812999998,-15.0583673187,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2019-09-23,2019-09-26,16.305,-1.6950000000000012,13.430502300899999,0.02101372537809209,18.0,2.874497699099999,0.0,2.874497699099999,-15.1255023009,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2019-09-26,2019-10-03,21.134999999999994,3.1349999999999945,18.262088613299994,0.03116876075387004,18.0,2.8729113867,0.0,2.8729113867,-15.1270886133,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2019-10-14,2019-10-17,12.015000000000002,-5.984999999999998,9.161693888700004,0.015476095691988045,18.0,2.8533061112999993,0.0,2.8533061112999993,-15.1466938887,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2019-10-17,2019-10-24,10.995000000000001,-7.004999999999999,8.137851545100002,0.010266380139402276,18.0,2.8571484549,0.0,2.8571484549,-15.1428515451,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2019-12-16,2019-12-19,3.487499999999999,-14.512500000000001,0.6470266057499988,0.0006485344483423949,18.0,2.84047339425,0.0,2.84047339425,-15.15952660575,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-06-01,2020-06-04,48.5025,30.5025,45.57173484045,0.09744525427485486,18.0,2.93076515955,0.0,2.93076515955,-15.069234840450001,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-06-04,2020-06-11,81.31500000000001,63.31500000000001,78.3342860907,0.15799892311402006,18.0,2.9807139093,0.0,2.9807139093,-15.019286090700001,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-06-18,2020-06-25,69.8475,51.8475,66.82452177855,0.1327371394093577,18.0,3.02297822145,0.0,3.02297822145,-14.97702177855,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-06-22,2020-06-25,43.3875,25.387500000000003,40.45714313475,0.0776416890749892,18.0,2.93035686525,0.0,2.93035686525,-15.069643134749999,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-07-06,2020-07-09,17.924999999999997,-0.07500000000000359,15.058739248499995,0.02798762057150822,18.0,2.8662607515,0.0,2.8662607515,-15.133739248500001,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-07-20,2020-07-23,29.57999999999999,11.579999999999993,26.692744517399994,0.04599976652202384,18.0,2.8872554825999996,0.0,2.8872554825999996,-15.112744517400001,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-08-10,2020-08-13,7.889999999999999,-10.110000000000001,5.040498016199999,0.008475128654874398,18.0,2.8495019837999993,0.0,2.8495019837999993,-15.1504980162,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-08-27,2020-09-03,17.842499999999994,-0.15750000000000586,14.964522760649993,0.0254453248325554,18.0,2.87797723935,0.0,2.87797723935,-15.12202276065,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-10-05,2020-10-08,21.314999999999998,3.314999999999996,18.445901576699995,0.029012569522483832,18.0,2.8690984233,0.0,2.8690984233,-15.1309015767,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-10-08,2020-10-15,35.9775,17.9775,33.07972659195,0.057428585352725194,18.0,2.8977734080500004,0.0,2.8977734080500004,-15.10222659195,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-10-12,2020-10-15,17.055,-0.9449999999999985,14.191665060900002,0.02410965302634932,18.0,2.8633349390999996,0.0,2.8633349390999996,-15.1366650609,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-11-13,2020-11-19,11.572499999999998,-6.427500000000002,8.714592187049998,0.013568107907003898,18.0,2.8579078129499997,0.0,2.8579078129499997,-15.14209218705,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-12-07,2020-12-10,6.667499999999999,-11.332500000000001,3.8187955591499994,0.005490285540539569,18.0,2.84870444085,0.0,2.84870444085,-15.15129555915,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2020-12-28,2020-12-31,8.549999999999997,-9.450000000000003,5.692178828999998,0.008198442789860289,18.0,2.8578211710000003,0.0,2.8578211710000003,-15.142178829,0,0,0.0,0.0
harsh_stress,def_full_resg0_ovg50,50,2021-01-07,2021-01-14,39.09750000000001,21.097500000000007,36.191736425550005,0.04999307455165175,18.0,2.9057635744499994,0.0,2.9057635744499994,-15.09423642555,0,0,0.0,0.0
