fold_id,fold_start_date,fold_end_date,available_symbol_count,event_count,strategy_total_return,strategy_annualized_return,buyhold_total_return,buyhold_annualized_return,excess_vs_buyhold_annualized,beats_buyhold
1,2016-05-06,2017-05-05,20,7,0.2249547687390927,0.22696082992889544,0.4348347249501207,0.4390186082554224,-0.21205777832652695,False
2,2017-05-08,2018-05-04,23,9,0.2277009156804899,0.2297336817906137,0.28291687037177243,0.2854970514256454,-0.0557633696350317,False
3,2018-05-07,2019-05-08,24,9,-0.08056983886665903,-0.08119247656335038,-0.1000540464199306,-0.10081882462268776,0.019626348059337384,True
4,2019-05-09,2020-05-12,25,9,-0.2795304476159558,-0.2814328305600039,-0.27942052401149076,-0.2813223129982987,-0.00011051756170521454,False
5,2020-05-13,2021-05-07,26,9,1.4038706748136418,1.4209340746735721,1.3738009293666276,1.3904082120057373,0.030525862667834858,True
6,2021-05-10,2022-05-09,27,9,0.3209418766543435,0.32391034903312965,0.3247471918465433,0.3277550172844439,-0.0038446682513142427,False
7,2022-05-10,2023-05-08,28,9,0.1744083904645528,0.17670378707431045,0.20153019317023524,0.20421248662692393,-0.02750869955261348,False
8,2023-05-09,2024-05-06,28,9,0.8928281860515783,0.9075543354837798,0.9281006241259554,0.9435369821446942,-0.03598264666091433,False
9,2024-05-07,2025-05-05,28,9,0.08067090207068439,0.0816896897035484,0.066655189646482,0.06749149552292177,0.014198194180626622,True
10,2025-05-06,2026-05-04,28,9,0.05133047061479079,0.05196984592162024,0.04047817192390602,0.04097974919129599,0.01099009673032425,True
