Symbol,Company,Weight,WeightPct,Source,SourceUrl,FetchedAtIST,MappingStatus
COALINDIA,COAL INDIA LTD,1.41,1.41,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
ETERNAL,ETERNAL LTD,1.41,1.41,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
POWERGRID,POWER GRID CORPORATION OF INDIA LTD,1.39,1.39,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
ASIANPAINT,ASIAN PAINTS LTD,1.37,1.37,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
SHRIRAMFIN,SHRIRAM FINANCE LTD,1.31,1.31,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
TATASTEEL,TATA STEEL LTD,1.22,1.22,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
GRASIM,GRASIM INDUSTRIES LTD,1.12,1.12,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
HINDALCO,HINDALCO INDUSTRIES LTD,1.11,1.11,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
INDIGO,INTERGLOBE AVIATION LTD,1.1,1.1,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
EICHERMOT,EICHER MOTORS LTD,1.04,1.04,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
