Date,Open,High,Low,Close,Adj Close,Volume,Log_Close,Log_Return,SMA10,SMA50,RSI,MACD,ADX,BB_Upper,BB_Lower,Bollinger_Width,EMA20,VWAP,Lagged_Return,Volatility,Chaikin_MF,OBV,Stoch_RSI,Stoch_RSI_signal,KC_High,KC_Low,KC_Mid,Force_Index,Intraday_Pct_Range
2018-04-02,1313.0,1339.5,1312.050048828125,1335.949951171875,1185.2088623046875,1302024,7.197397891697186,0.01892866986952857,1296.7650146484375,1333.6959985351561,57.183665364063316,-2.879487481133765,15.264545042738964,1330.4383831965242,1261.131636334726,5.348630084425357,1304.005399768779,1294.9117729012203,0.019108952850168004,28.630593610635014,-0.025999424236210492,26157665,95.51194699893671,83.16988725166367,1322.2133422851562,1270.8183349609376,1296.5158386230469,26911739.05960222,0.020906284213156892
2018-04-03,1332.75,1339.0,1318.050048828125,1330.4000244140625,1180.284912109375,1123582,7.193234946229636,-0.004162945467549584,1302.8750122070312,1333.78,55.66891393594484,-0.5114900353698886,15.11065104078464,1333.4611037642849,1259.6289230911839,5.694532770436371,1306.5191735445203,1295.2771429475638,-0.00415429242161669,28.081976293580727,0.009018794013449951,25034083,88.49560253523605,87.39365123032992,1322.708339436849,1271.1983418782552,1296.9533406575522,4813381.148936419,0.015719340590414556
2018-04-04,1331.0,1332.699951171875,1290.199951171875,1296.1500244140625,1149.899658203125,1285513,7.167153629791349,-0.026081316438287594,1304.535009765625,1332.6360009765624,47.335640267565005,-1.3825861672030442,14.289406188660895,1333.184429208083,1259.4506049716044,5.687944756158709,1305.5316355320958,1295.0568589368856,-0.025744136629195058,29.111835129753533,0.006773311416582808,23748570,45.195968437638406,76.40117265727041,1324.2241739908854,1269.9391764322918,1297.0816752115886,-27748086.450354524,0.03193087903831705
2018-04-05,1314.0,1335.050048828125,1311.0,1328.800048828125,1178.8656005859375,1758313,7.192031595045115,0.024877965253765844,1308.0650146484375,1331.9960009765625,54.35088569630287,0.5552474282626463,13.428702392307907,1337.526036993028,1259.6489996280657,5.997057284693427,1307.7476748936226,1296.2243930200743,0.025190004088317064,29.81099150720417,0.05521108765759245,25506883,86.47287677067595,73.38814924785015,1324.857509358724,1272.557509358724,1298.707509358724,29023279.434924137,0.0183029290929414
2018-04-06,1305.199951171875,1323.0,1305.199951171875,1316.550048828125,1167.997802734375,1492796,7.182769994794174,-0.009261600250940916,1308.7850219726563,1330.8980029296874,51.57499405510745,1.0899575394878411,12.867157677918373,1337.3518466882115,1265.1481899328824,5.5487919876514855,1308.585996220718,1296.9503647643742,-0.009218843731081505,29.367356232136018,0.10147696390900304,24014087,70.98614632700965,67.55166384510802,1326.1783426920574,1275.4883402506512,1300.8333414713543,-2516740.855025286,0.01363779458629554
2018-04-09,1318.0,1333.0,1317.8499755859375,1327.9000244140625,1178.06689453125,1118116,7.191354044381749,0.008584049587575748,1311.9500244140625,1329.47900390625,53.92312556828499,2.4018799521238634,11.998652441906653,1340.401440622028,1266.5085935576594,5.6689986302208855,1310.425427477227,1301.3193431495872,0.008620998188439755,28.44468444211737,0.0665407706349201,25132203,85.12823642828526,80.8624198419903,1327.8400065104167,1278.6900065104169,1303.2650065104167,7621479.249822301,0.01149470744617792
2018-04-10,1328.0,1355.449951171875,1328.0,1349.9000244140625,1197.5845947265625,2177789,7.207785812700612,0.016431768318862616,1320.1500244140625,1328.2630053710936,58.1583282527808,5.157353295902567,12.083362806297709,1347.9896165923221,1264.8604200287716,6.3631050690572515,1314.1849128997828,1308.2692856684123,0.016567512309300092,28.38077317895274,0.07882235149217638,27309992,94.092677336618,83.40235336397099,1331.190000406901,1280.900010172526,1306.0450052897136,34481398.41660743,0.02067014395472515
2018-04-11,1358.4000244140625,1359.4000244140625,1340.0,1352.75,1200.1129150390625,1536552,7.209894836522845,0.0021090238222329916,1325.6850219726562,1327.2940063476562,58.68807676233921,7.484775155622856,12.30623505522134,1354.7764154311956,1262.3436163070858,7.063703460533775,1317.8577783378987,1312.7466093136745,0.0021112493772823537,27.739291124317724,0.052790685984751326,28846544,93.20733119949327,90.80941498813219,1333.6283345540364,1282.898341878255,1308.2633382161457,14413223.263218103,0.014281525372049799
2018-04-12,1356.300048828125,1361.4000244140625,1345.550048828125,1357.449951171875,1204.28271484375,1695410,7.213363182746759,0.0034683462239142315,1330.6750122070312,1326.1130053710938,59.59655801480781,9.59788211748355,12.589031823342186,1362.06241083787,1260.5276160175988,7.743093185023138,1321.6284614649442,1316.3233523476538,0.003474367896414643,26.890054300147707,0.09016023533480327,30541954,96.0459736968478,94.4486607443197,1335.3866719563803,1285.9616719563803,1310.6741719563802,10116637.231945097,0.011686186695659453
2018-04-13,1362.0,1364.3499755859375,1340.5999755859375,1354.8499755859375,1201.9764404296875,1320241,7.211446008059217,-0.0019171746875423779,1335.0700073242188,1324.571005859375,58.82588591009741,10.936667216160004,12.583402271514373,1367.8858033742042,1259.8642210398582,8.221602612937488,1324.7924151907532,1319.335516171651,-0.0019153380820360333,26.66576470728001,0.09427304515374518,29221713,90.76324525516084,93.33885005050065,1338.0500040690104,1288.3500040690103,1313.2000040690104,1083816.1656125588,0.017437591776798825
