Date,Ticker,EventDate,Source,Purpose,Company,SourceUrl,FetchedAtIST
2025-02-08,AARTISURF,2025-02-08,NSE corporates-financial-results quarterly,Third Quarter,Aarti Surfactants Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-08,AARVI,2025-02-08,NSE corporates-financial-results quarterly,Third Quarter,Aarvi Encon Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-30,AAVAS,2025-01-30,NSE corporates-financial-results quarterly,Third Quarter,Aavas Financiers Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-11,ABAN,2025-02-11,NSE corporates-financial-results quarterly,Third Quarter,Aban Offshore Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-17,ABB,2025-02-17,NSE corporates-financial-results quarterly,Fourth Quarter,ABB India Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2026-07-31,ABB,2026-07-31,NSE event-calendar,Financial Results/Dividend,ABB India Limited,https://www.nseindia.com/api/event-calendar,2026-07-03T14:04:51.745795+05:30
2025-02-03,ABCAPITAL,2025-02-03,NSE corporates-financial-results quarterly,Third Quarter,Aditya Birla Capital Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-30,ABDL,2025-01-30,NSE corporates-financial-results quarterly,Third Quarter,Allied Blenders and Distillers Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,ABFRL,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Aditya Birla Fashion and Retail Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,ABHISHEK,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Abhishek Corporation Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-13,ABINFRA,2025-02-13,NSE corporates-financial-results quarterly,Third Quarter,A B Infrabuild Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-07,ABMINTLLTD,2025-02-07,NSE corporates-financial-results quarterly,Third Quarter,ABM International Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-21,ABREL,2025-01-21,NSE corporates-financial-results quarterly,Third Quarter,Aditya Birla Real Estate Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
