Date,Open,High,Low,Close,Adj Close,Volume,Log_Close,Log_Return,SMA10,SMA50,RSI,MACD,ADX,BB_Upper,BB_Lower,Bollinger_Width,EMA20,VWAP,Lagged_Return,Volatility,Chaikin_MF,OBV,Stoch_RSI,Stoch_RSI_signal,KC_High,KC_Low,KC_Mid,Force_Index,Intraday_Pct_Range
2021-07-29,2111.85009765625,2534.199951171875,2111.85009765625,2312.199951171875,2300.520751953125,7860870,7.745954710123617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7860870,0.0,0.0,2741.7665201822915,1897.0668131510417,0.0,0.0,0.19999045101939414
2021-07-30,2323.0,2380.0,2250.0,2267.85009765625,2256.394775390625,1432655,7.7265875681554785,-0.01936714196813849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01918080375927156,0.0,0.0,6428215,0.0,0.0,2585.524943033854,2033.175089518229,0.0,0.0,0.055962117950925525
2021-08-02,2279.0,2287.699951171875,2248.0,2263.25,2251.81787109375,493438,7.72455711235555,-0.0020304557999288875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020283958190200346,0.0,0.0,5934777,0.0,0.0,2492.355495876736,2097.65562608507,0.0,-22692588.454345703,0.017419899592749012
2021-08-03,2264.949951171875,2280.14990234375,2250.0,2268.199951171875,2256.742919921875,329279,7.726741822853972,0.002184710498422504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021870987172760703,0.0,0.0,6264056,0.0,0.0,2443.333251953125,2132.2333984375,0.0,-6477586.170166017,0.013311509302071145
2021-08-04,2268.199951171875,2274.0,2208.75,2213.10009765625,2201.92138671875,349040,7.702149570684817,-0.02459225216915506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024292326382935214,0.0,0.0,5915016,0.0,0.0,2414.1066080729165,2139.1267252604166,0.0,-14980563.970784506,0.028767305089786425
2021-08-05,2212.25,2215.0,2120.10009765625,2131.64990234375,2120.8828125,303604,7.664651560893463,-0.03749800979135376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03680366531941259,0.0,0.0,5611412,0.0,0.0,2386.8360460069443,2126.052842881945,0.0,-21479258.055365667,0.04289745839925415
2021-08-06,2131.64990234375,2189.0,2110.0,2134.39990234375,2123.618896484375,236079,7.665940809967813,0.0012892490743494633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012900805132101123,0.0,0.0,5847491,0.0,0.0,2363.49755859375,2117.3976702008927,0.0,-6726941.18512189,0.037060494743128065
2021-08-09,2144.25,2156.699951171875,2060.85009765625,2079.199951171875,2068.697509765625,211519,7.639738459843188,-0.026202350124624907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025862047272050992,0.0,0.0,5635972,0.0,0.0,2342.406178792318,2103.1063130696616,0.0,-10026206.042989848,0.04470087607117874
2021-08-10,2070.0,2078.0,2017.8499755859375,2043.8499755859375,2033.5263671875,193101,7.622590551167021,-0.01714790867616678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017001720092391093,0.0,0.0,5442871,0.0,0.0,2316.2184561270255,2090.1407922815397,0.0,-7892812.4380766945,0.029057982808725846
2021-08-11,2044.0,2058.0,2001.0,2011.1500244140625,2000.991455078125,132078,7.606461988886669,-0.0161285622803522,2172.4849853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01599919346453038,0.0,0.0,5310793,0.0,0.0,2292.634944661458,2077.765047200521,0.0,-5510233.579944836,0.027886497064579255
