Date,Open,High,Low,Close,Adj Close,Volume,Log_Close,Log_Return,SMA10,SMA50,RSI,MACD,ADX,BB_Upper,BB_Lower,Bollinger_Width,EMA20,VWAP,Lagged_Return,Volatility,Chaikin_MF,OBV,Stoch_RSI,Stoch_RSI_signal,KC_High,KC_Low,KC_Mid,Force_Index,Intraday_Pct_Range
2018-01-01,192.0,192.0,188.5,189.1999969482422,167.1834259033203,89724,5.24280464048798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89724,0.0,0.0,193.3999989827474,186.3999989827474,0.0,0.0,0.018229166666666668
2018-01-02,188.3249969482422,191.5,187.0,189.77499389648438,167.69149780273438,96782,5.245839127740979,0.003034487252999263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030390959699617692,0.0,0.0,186506,0.0,0.0,193.6624984741211,185.6624984741211,0.0,0.0,0.023894862991750084
2018-01-03,191.4250030517578,198.10000610351562,188.6999969482422,189.52499389648438,167.47059631347656,619530,5.24452090973809,-0.0013182180028890045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013173495351888054,0.0,0.0,-433024,0.0,0.0,196.27777947319876,184.67777336968314,0.0,-84705.2151184082,0.04910544080143934
2018-01-04,191.22500610351562,191.4499969482422,188.0,190.22500610351562,168.08914184570312,467954,5.248207614148356,0.003686704410266195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003693508664158518,0.0,0.0,34930,0.0,0.0,195.54375076293945,185.11874771118164,0.0,190147.2698465983,0.018041557527129083
2018-01-05,188.64999389648438,194.3000030517578,188.64999389648438,192.5749969482422,170.1656951904297,585382,5.2604856723919164,0.01227805824356043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012353743037588627,0.0,0.0,620312,0.0,0.0,195.93333536783854,185.3333292643229,0.0,980477.3170606825,0.029949691693993367
2018-01-08,195.4250030517578,195.89999389648438,190.97500610351562,192.3000030517578,169.92269897460938,165638,5.25905666846451,-0.0014290039274067468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014279833874710768,0.0,0.0,454674,0.0,0.0,196.2749998304579,185.7999988132053,0.0,296459.4796696416,0.02520142108768129
2018-01-09,191.75,193.0,187.27499389648438,187.8000030517578,165.94635009765625,131034,5.235377583024204,-0.023679085440305947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02340093566607393,0.0,0.0,323640,0.0,0.0,196.1047624860491,185.490474155971,0.0,-294282.1734434528,0.02985661592446219
2018-01-10,188.89999389648438,189.3249969482422,186.75,187.39999389648438,165.5928955078125,461098,5.233245337234868,-0.002132245789336018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002129974168121773,0.0,0.0,-137458,0.0,0.0,195.39166641235352,185.4604148864746,0.0,-221056.33879999857,0.01363153537026192
2018-01-11,188.4499969482422,188.5,184.0,184.6999969482422,163.2071075439453,297870,5.2187328706824125,-0.014512466552455194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014407668282708674,0.0,0.0,-435328,0.0,0.0,194.81851817943434,184.99073904531974,0.0,-609850.8402485998,0.02387901338749252
2018-01-12,186.89999389648438,188.0,184.125,184.5,163.03038024902344,96368,5.217649463480582,-0.001083407201830866,188.79999847412108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010828205281359082,0.0,0.0,-531696,0.0,0.0,194.27833302815753,184.65833180745443,0.0,-216132.4840216687,0.020733012983115404
2018-01-15,185.1750030517578,187.4250030517578,185.02499389648438,185.85000610351562,164.22328186035156,154132,5.2249399295843455,0.007290466103763826,188.46499938964843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007317106252117123,0.0,0.0,-377564,0.0,0.0,193.75303095037287,184.5712099942294,0.0,66675.2658241573,0.01296076206680346
2018-01-16,187.25,187.47500610351562,182.5,184.6750030517578,163.18496704101562,113256,5.21859753993982,-0.006342389644525603,187.9550003051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00632231914538306,0.0,0.0,-490820,0.0,0.0,193.42847357855905,184.18263668484158,0.0,-66492.34181186944,0.026568790940003337
2018-01-17,187.1999969482422,193.5,180.0,181.22500610351562,160.13644409179688,1617312,5.199739386866155,-0.018858153073664674,187.1250015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018681450609075,0.0,0.0,-2108132,0.0,0.0,193.81153987004205,183.19999812199518,0.0,-3741978.4235076024,0.07211538579101866
2018-01-18,184.25,189.0,183.5,187.85000610351562,165.9905242919922,1423208,5.23564380451141,0.03590441764525476,186.88750152587892,0.0,50.14504267929132,0.0,0.0,0.0,0.0,0.0,0.0,187.7837041921091,0.0365567652193417,5.51964351109096,0.0,-684924,43.37018484204208,0.0,193.70238240559894,183.06309363955543,0.0,5038509.192164132,0.029850746268656716
2018-01-19,189.0,189.9499969482422,185.35000610351562,187.72500610351562,165.88009643554688,1221146,5.234978158499015,-0.0006656460123952712,186.40250244140626,0.0,49.79057918095029,0.0,0.0,0.0,0.0,0.0,0.0,187.74040329910284,-0.0006654245192364572,5.4539540349220745,0.0,-1906070,42.67957734011576,0.0,193.60722317165798,183.06388821072048,0.0,1577740.8973880443,0.02433857589802414
2018-01-22,188.9499969482422,189.72500610351562,185.0,185.5749969482422,163.9802703857422,1402202,5.223459096558734,-0.011519061940280295,185.7300018310547,0.0,44.02599866149599,0.0,0.0,0.0,0.0,0.0,0.0,187.5658498756059,-0.01145297155610625,5.4018863255359,0.0,-3308272,30.80107772537898,38.95027996917894,193.47500133514404,182.99999904632568,0.0,-1483917.7925658014,0.02500664821291272
