Date,Open,High,Low,Close,Volume
2016-07-05,1000.0,1000.01,999.99,1000.0,958648
2016-07-07,1000.0,1000.01,999.99,1000.0,628517
2016-07-08,999.99,1000.01,999.99,1000.0,632219
2016-07-11,1000.0,1000.01,999.99,1000.0,620407
2016-07-12,1000.0,1000.01,999.99,1000.0,298921
2016-07-13,1000.0,1000.01,999.99,1000.0,368022
2016-07-14,1000.0,1000.01,999.99,1000.0,563260
2016-07-15,1000.0,1000.01,999.99,1000.0,1004336
2016-07-18,1000.0,1000.01,999.99,1000.0,377235
2016-07-19,999.99,1000.01,999.99,999.99,343576
2016-07-20,1000.0,1000.01,999.99,1000.0,293731
2016-07-21,999.99,1000.01,999.99,1000.0,365795
2016-07-22,1000.0,1000.01,999.99,1000.0,420615
2016-07-25,1000.0,1000.01,999.99,1000.0,641375
2016-07-26,1000.0,1000.01,999.99,1000.0,771459
2016-07-27,1000.0,1000.01,999.99,1000.0,916382
2016-07-28,1000.0,1000.01,999.99,1000.0,1457334
2016-07-29,1000.0,1000.01,999.99,1000.0,1674990
2016-08-01,999.99,1003.0,999.99,1000.0,1146105
2016-08-02,1000.0,1000.01,952.0,1000.0,1049262
2016-08-03,1000.0,1000.01,999.99,1000.0,618849
2016-08-04,1000.0,1000.01,999.99,999.99,498614
2016-08-05,1000.0,1000.01,999.99,1000.0,512285
2016-08-08,1000.0,1000.01,999.99,1000.0,521488
2016-08-09,999.99,1000.01,999.99,1000.0,395402
2016-08-10,1000.0,1000.01,999.99,1000.0,393394
2016-08-11,999.99,1000.01,999.99,1000.0,615903
2016-08-12,1000.0,1000.01,999.99,1000.0,494960
2016-08-16,1000.0,1000.01,999.99,1000.0,344111
2016-08-17,1000.0,1000.01,999.99,1000.0,463717
2016-08-18,1000.0,1000.01,999.99,1000.0,478862
2016-08-19,1000.0,1000.01,999.99,1000.0,1034745
2016-08-22,1000.0,1000.01,999.99,999.99,907911
2016-08-23,1000.0,1000.01,999.99,999.99,311154
2016-08-24,1000.0,1000.01,999.99,999.99,217231
2016-08-25,1000.0,1000.01,999.99,1000.0,436978
2016-08-26,990.0,1000.01,990.0,999.99,593622
2016-08-29,1000.0,1000.01,999.99,1000.0,897335
2016-08-30,1000.0,1000.01,999.99,1000.0,583322
2016-08-31,1000.0,1000.01,999.99,1000.0,606266
2016-09-01,1000.0,1003.95,999.99,1000.0,402186
2016-09-02,1000.0,1000.01,999.99,1000.0,389622
2016-09-06,1000.0,1000.01,999.99,1000.0,575171
2016-09-07,1000.0,1000.01,999.99,1000.0,584616
2016-09-08,999.99,1000.01,999.99,999.99,1570551
2016-09-09,1000.0,1000.01,999.99,1000.0,1390051
2016-09-12,1000.0,1000.01,999.99,1000.0,1029351
2016-09-14,1000.0,1000.01,980.0,1000.0,682227
2016-09-15,999.99,1000.01,999.99,999.99,2310914
2016-09-16,1000.0,1000.01,999.99,1000.0,1519401
2016-09-19,1000.0,1000.01,999.99,1000.0,770983
2016-09-20,999.99,1000.01,999.0,1000.0,2187657
2016-09-21,999.99,1000.01,999.99,999.99,1256236
2016-09-22,990.0,1000.01,990.0,1000.0,507455
2016-09-23,999.99,1000.01,999.99,1000.0,668023
2016-09-26,1000.0,1000.01,999.99,999.99,925584
2016-09-27,1000.0,1000.01,999.99,999.99,720210
2016-09-28,1000.0,1000.01,999.99,999.99,1027083
2016-09-29,1000.0,1000.01,999.99,1000.0,777361
2016-09-30,1000.0,1000.01,999.99,1000.0,1560639
2016-10-03,1000.0,1000.0,999.99,999.99,357222
2016-10-04,1000.0,1000.01,999.99,999.99,368790
2016-10-05,1000.0,1000.01,999.99,999.99,584520
2016-10-06,1000.0,1000.01,999.98,1000.0,2866072
2016-10-07,1000.0,1000.01,999.99,1000.0,291495
2016-10-10,1000.0,1000.01,999.99,999.99,362639
2016-10-13,1000.0,1000.01,999.99,1000.0,723730
2016-10-14,1000.0,1000.01,995.2,999.99,489976
2016-10-17,1000.0,1000.01,999.99,1000.0,501711
2016-10-18,1000.0,1000.01,999.99,999.99,881238
2016-10-19,1000.0,1000.01,960.0,999.99,568561
2016-10-20,999.99,1000.01,999.99,1000.0,351472
2016-10-21,1000.0,1000.01,998.0,1000.0,500395
2016-10-24,1000.0,1000.01,999.09,1000.0,3898473
2016-10-25,1000.0,1000.01,999.99,999.99,473732
2016-10-26,1000.0,1000.01,999.99,1000.0,301211
2016-10-27,999.99,1000.01,999.99,999.99,321081
2016-10-28,1000.0,1000.01,999.99,1000.0,573827
2016-11-01,1000.0,1000.01,999.99,1000.0,475944
2016-11-02,999.99,1000.01,999.99,1000.0,502412
2016-11-03,999.99,1000.01,999.99,1000.0,714827
2016-11-04,1000.0,1000.01,999.99,1000.0,498633
2016-11-07,999.99,1000.01,997.6,1000.0,6665390
2016-11-08,1000.0,1000.01,999.99,1000.0,385075
2016-11-09,1000.0,1000.01,999.99,999.99,860146
2016-11-10,1000.0,1000.01,999.99,1000.0,407434
2016-11-11,1000.0,1000.01,999.99,1000.0,570878
2016-11-15,999.99,1000.01,999.99,999.99,486100
2016-11-16,1000.0,1000.01,999.99,999.99,455562
2016-11-17,1000.0,1000.01,999.99,1000.0,430285
2016-11-18,1000.0,1000.01,999.99,1000.0,398420
2016-11-21,999.99,1000.01,999.99,1000.0,389818
2016-11-22,1000.0,1000.01,999.99,1000.0,292908
2016-11-23,999.99,1000.01,999.99,999.99,590177
2016-11-24,1000.0,1000.01,999.99,1000.0,792278
2016-11-25,999.99,1000.01,999.99,1000.0,581488
2016-11-28,999.99,1000.01,999.99,1000.0,1509480
2016-11-29,1000.0,1000.01,999.99,999.99,454395
2016-11-30,999.99,1000.01,999.99,999.99,474565
2016-12-01,1000.0,1000.01,999.99,1000.0,425937
2016-12-02,999.99,1000.01,999.99,1000.0,482836
2016-12-05,1000.0,1000.01,999.99,999.99,326639
2016-12-06,999.99,1000.01,999.99,1000.0,308406
2016-12-07,1000.0,1000.01,999.99,1000.0,505251
