Branch,ExperimentID,Family,StandalonePromoted,ResearchAUC,ResearchBalancedAccuracy,ResearchSpreadTopBottom,GapAUC,GapBalancedAccuracy,GapSpreadTopBottom,RealTradeCount,SelectionScore,BestBaselinePolicy,BestBaselineReturn,BestBaselineTurnover,BestBaselineTrades,PositiveTickers,ZeroTickers,NegativeTickers,TopPositiveShare,BenchmarkPolicy,BenchmarkReturn
E211_Incumbent,E209,TrendRegime,True,0.5705926545865535,0.5557556151616982,0.0034815093194337,0.0719356673450541,0.0577460838611612,0.0033366468251867,1599.7108223689113,0.1331632605256491,SIGNAL_E211_BANDED_68,0.0001012555869542,0.7253086414654063,1.2222222222222223,0,13,0,0.0,SIGNAL_E211_BANDED_68,0.0
E211_Incumbent,E210,TrendRegime,False,0.5678029215978296,0.5527417607586167,0.0033212459865612,0.0690735196444981,0.0546390280870273,0.0035873724617119,1600.845427605617,,SIGNAL_E211_BANDED_68,0.0001012555869542,0.7253086414654063,1.2222222222222223,0,13,0,0.0,SIGNAL_E211_BANDED_68,0.0
E211_Incumbent,E211,TrendRegimePlusPersistence,True,0.5698587091672159,0.5538431721477547,0.0034433991541572,0.0708473067375666,0.0537060729963133,0.003406174481222,1599.7108223689113,0.1279967788880372,SIGNAL_E211_BANDED_68,0.0001012555869542,0.7253086414654063,1.2222222222222223,0,13,0,0.0,SIGNAL_E211_BANDED_68,0.0
E211_Incumbent,E212,TrendRegimePlusPersistence,False,0.5666806502696851,0.5518822081673178,0.0032862370040648,0.067523282002165,0.0539275951182712,0.003673964049051,1600.845427605617,,SIGNAL_E211_BANDED_68,0.0001012555869542,0.7253086414654063,1.2222222222222223,0,13,0,0.0,SIGNAL_E211_BANDED_68,0.0
AblationGrid,E610,,True,0.6216360625532895,0.6014410952148785,0.0005860384676606,0.1192316706511871,0.099518836751881,0.0004815471648818,3240.0,0.2193365458707287,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
AblationGrid,E605,,True,0.5756337595164057,0.5639138544380101,0.0035591709387626,0.0736483665569077,0.0627789532293648,0.0040278073694919,3240.0,0.1399864907250352,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
AblationGrid,E606,,True,0.5700671761507365,0.5555070797032774,0.0034359893655993,0.0683788017130032,0.0546564377501338,0.0035372267738286,3240.0,0.1264712288287365,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
AblationGrid,E607,,True,0.5691877436543089,0.55323094801701,0.0034349203910696,0.0678758107145339,0.0518634871122294,0.0034492619063598,3240.0,0.123174218217833,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
AblationGrid,E612,,False,0.521293046051806,0.5156132741718615,0.0003319154540974,0.0216298246047195,0.0155138781934477,0.0005854715961543,3240.0,0.0374756182522646,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
AblationGrid,E611,,False,0.5201680626103421,0.5146693067183744,0.0002655564399866,0.0187882893148106,0.0136263897479056,0.0003829787667434,3240.0,0.0326802355027029,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
AblationGrid,E608,,False,0.5048054136814325,0.5026342329228352,0.0002452023448531,0.0054854676456442,0.0045566492235896,0.000140322016476,3240.0,0.0102873192140871,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
AblationGrid,E609,,False,0.5049176298039478,0.5030521373398095,0.0004168243360633,0.0048789990903198,0.0039287502045159,0.0002515478496963,3240.0,0.0092245736308991,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
AblationGrid,E604,,False,,,0.0001580160630792,,,0.0003705085720862,3240.0,0.0041600643277772,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E302,,False,0.576299261557544,0.559171489966783,0.0037837633225782,0.0717642019169384,0.0567529872800987,0.0037371229235139,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E321,,False,0.5348874621523554,0.5251467157639013,0.0011698502866265,0.0310682857243657,0.0228190897086728,0.0008390748407429,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E322,,False,0.524043455571519,0.5172137844530882,0.0008407628389241,0.0195357968628545,0.0135061044700561,0.0006036132411368,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E323,,False,0.5111532966330473,0.5079898497107737,0.0001743864682379,0.0079753210607985,0.005409041491478,-0.0002180902195004,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E324,,False,0.5009213992378749,0.500599900012632,-0.0003631129272852,-0.0050945097926877,-0.0030271428539019,-0.0014075623312212,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E325,,True,0.5786518407449593,0.5582696611670925,0.0038584430959772,0.0776257360346102,0.0580336420369939,0.0035736960832867,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E327,,False,0.557202301133728,0.5446276919955277,0.0031013317599605,0.0537590418726725,0.0433582020743037,0.0025518773810196,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E328,,False,0.5351020229297193,0.5250101427351581,0.0024699548718489,0.0277051776700368,0.0185522502060772,0.0011850104335603,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E329,,True,0.576906428562329,0.5563716392261949,0.0038078121508509,0.0767124092695794,0.0568984624873923,0.003473529402855,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E330,,False,0.5749494123320206,0.5584755193453561,0.0036192895574477,0.0714957715724312,0.0564944499594558,0.0034890485169376,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E331,,False,0.5552937563293858,0.5450373569206876,0.0031137319107004,0.0518055470530967,0.044812027698143,0.0024048824753945,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
E302_Broader,E332,,False,0.5340262622034385,0.5244206099471717,0.0023436598840028,0.0265458207305954,0.0193237665092372,0.0010631731952041,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
GeneralizationNext,E401,T4_SetupQuality,True,0.6231478158795903,0.600064421273122,0.0006564016182846,0.1226087247575703,0.0998538036623037,0.0005053571595512,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
GeneralizationNext,E402,T4_SetupQuality,False,0.5230998402312804,0.5166172080676349,0.0003280763782565,0.0216939467244983,0.0140209115264243,0.0003808675311962,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
GeneralizationNext,E407,SetupProxy,True,0.5740547688166425,0.5569561352398534,0.0036658327729818,0.0758854118230478,0.0579318294714255,0.0037347225641015,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
GeneralizationNext,E408,SetupProxy,False,0.5715936579893721,0.5578307580148326,0.0034343761386008,0.0719053518172954,0.0573062397091771,0.0038134789783301,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
GeneralizationWave2,E413,SetupContinuation,False,,,-0.0003362868077852,,,0.0011814264791237,1308.64937884233,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
GeneralizationWave2,E414,SetupPullback,False,,,-9.742967171804068e-05,,,-0.0010036961356506,1273.8809381312187,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
GeneralizationWave2,E415,FailedBreakout,True,0.5792609858266172,0.5575061694355182,0.0002316169285036,0.0809410922973842,0.0593319391430542,0.0001218054337041,689.8110669202836,0.1405046483689421,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
GeneralizationWave2,E416,RelativeCarry,False,,,0.0006451484650741,,,-0.0003907259492269,3240.0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
CrossSectional60m,E501,RelativeContinuation,True,0.5113242064731727,0.5075578438016617,0.0005591490834514,0.0148997509508373,0.0118636748231669,0.0006204339281178,1320.1429498971972,0.0273225748574558,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
CrossSectional60m,E502,RelativeContinuation,False,0.5113187421992661,0.5089996095993647,0.0004231004856896,0.0143800348447528,0.0118033064878195,0.0002550647318745,1320.1429498971972,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0
